FullName,AfterComma,KeyCode,Class,NameType,Other_Name_Info,familyName,givenName,birthDate,deathDate,OtherAssociatedDate,gender,nationality,Title,Info,Info_Cleaned,jobTitle,spouse,children,parent,sibling,relatedTo,Relationship,Record_About,Years_BD,Year_Married,Year_Remarried
"Aïssé, Charlotte-Elisabeth",", Charlotte-Elisabeth",aisse1,1,,,,,1695,1733,,Female,,,"1695-1733, femme de lettres",femme de lettres,femme de lettres,,,,,,,False,1695-1733,,
"Ajalbert, Jean",", Jean",ajalbe1,2,,,,,1863,1947,,Male,,,1863-1947,,,,,,,,,False,1863-1947,,
"Akerman, Henrik",", Henrik",akerma1,2,,,,,1840,,,Male,Swedish,,"1840-?, diplomate suédois",diplomate suédois,diplomat,akerma2,,,,,,False,,,
"Akerman, baronne Liljencrantz, Mme M.",", baronne Liljencrantz, Mme M.",akerma2,0,,,,,,,,Female,Swedish,Baroness,épouse de l'ambassadeur de Suède,,,akerma1,,,,,wife of: l'ambassadeur de Suède,False,,,
"Alain-Fournier, Henri-Alban Fournier, dit",", Henri-Alban Fournier, dit",alainf1,2,,,,,1886,1914,,Male,,,"1886-1914, écrivain, beau-frère de Jacques Rivière",beau-frère de Jacques Rivière,writer,,,,,brother-in-law of rivier2,,False,1886-1914,,
"Albalat, Antoine",", Antoine",albala1,1,,,,,1856,1935,,Male,,,"1856-1935, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,1856-1935,,
"Albaret, Céleste Gineste, Mme Odilon",", Céleste Gineste, Mme Odilon",albare1,0,,,,,1891,1984,,Female,,,1891-1984,,,albare2,,,,,,False,1891-1984,,
"Albaret, Odilon",", Odilon",albare2,1,,,,,1881,1960,,Male,,,"1881-1960, chauffeur de taxi",chauffeur de taxi,taxi driver,albare1,,,albare3,,,False,1881-1960,,
"Albaret, Léontine",", Léontine",albare3,0,,,,,,,,Female,,,soeur d'Odilon Albaret,soeur d'Odilon Albaret,,,,,albare2,,,False,,,
"Alba de Tormes, Jacobo Stuart Fitz-James Falco-Portocarrero, 10e duc de Berwick, 17e duc de",", Jacobo Stuart Fitz-James Falco-Portocarrero, 10e duc de Berwick, 17e duc de",albato1,1,,,,,1878,,,Male,,,1878-?,,,,,,,,,False,,,
"Albe, Maria de Fernan-Nunez, duchesse d'",", Maria de Fernan-Nunez, duchesse d'",albe1,0,,,,,1854,1904,,Female,,Duchess,1854-1904?,,,,,,,,,False,1854-1904,,
"Albers, Henri",", Henri",albers1,0,,,,,1866,1926,,Male,,,"1866-1926, chanteur",chanteur,singer,,,,,,,False,1866-1926,,
"Albert, Prince de Saxe-Cobourg-et-Gotha, Prince consort",", Prince de Saxe-Cobourg-et-Gotha, Prince consort",albert3,0,,,,,1819,1861,,Male,German; English,Prince Consort,"1819-1861, prince consort à partir du 25 juin 1857, époux de la reine Victoria d'Angleterre",époux de la reine Victoria d'Angleterre,prince consort,victor1,batten1,,,,,False,1819-1861,,
"Albufera, marquis Louis d'",", marquis Louis d'",albufe1,0,,,,,1877,1953,,Male,,Marquis,"1877-1953, ""Albu""","""Albu""",,albufe4,,albufe2; albufe3,,,,False,1877-1953,,
"Albufera, Raoul Suchet, 3e duc d'",", Raoul Suchet, 3e duc d'",albufe2,0,,,,,1845,1925,,Male,,Duke,1845-1925,,,albufe3,albufe1,,,,,False,1845-1925,,
"Albufera, Zénaïde de Cambacérès, duchesse Raoul d'",", Zénaïde de Cambacérès, duchesse Raoul d'",albufe3,0,,,,,1857,1932,,Female,,Duchess,1857-1932; soeur de la duchesse de Feltre,soeur de la duchesse de Feltre,,albufe2,albufe1,cambac1; cambac2,feltre1,,,False,1857-1932,,
"Albufera, Anna Masséna D'Essling, marquise Louis d'",", Anna Masséna D'Essling, marquise Louis d'",albufe4,0,,,,,1884,1967,,Female,,Marquise,1884-1967,,,albufe1,,esslin1; esslin2,esslin3; monfez27,,,False,1884-1967,,
"Alcantara, Pedro II d'; empereur du Brésil",", Pedro II d'; empereur du Brésil",alcant1,0,,,,,1825,1891,,Male,Brasilian,Emperor,1825-1891,,,,,,,,,False,1825-1891,,
"Alden, Douglas W.",", Douglas W.",alden1,0,,,,,,1999,,Male,,,"?-1999, professeur de littérature française américain",professeur de littérature française américain,professor,,,,,,,False,,,
"Aldington, Edward Godfree, alias Richard Aldington.",", Edward Godfree, alias Richard Aldington.",alding1,0,,,,,1892,1962,,Male,,,"1892–1962, Romancier et poète anglais (THRA)",Romancier et poète anglais,poet; novelist,,,,,,,False,1892-1962,,
"Alençon, Emilie Andrée, dite Emilienne d'",", Emilie Andrée, dite Emilienne d'",alenco1,0,,,,,,,,Female,,,actrice,actrice,actress,,,,,,,False,,,
"Alès, Adhémar d'",", Adhémar d'",ales1,0,,,,,1861,1938,,Male,,,"1861-1938, abbé",abbé,abbot,,,,,,,False,1861-1938,,
"Alexandre, Arsène",", Arsène",alexan2,0,,,,,1859,1937,,Male,,,"critique d'art, journaliste, 1859-1937",critique d'art,art critic; journalist,,,,,,,False,1859-1937,,
"Alexandre Ier, roi de Serbie",", roi de Serbie",alexan3,0,,,,,1876,1903,,Male,Serbian,King,1876-1903,,king,,,,,,,False,1876-1903,,
"Alexandre, André",", André",alexan4,0,,,,,1860,,,Male,,,"1860-?, poète, auteur dramatique, collabore à ""l'Ile du Rêve""",poète,poet; dramatist,,,,,,,False,,,
"Alexandra, reine d'Angleterre",", reine d'Angleterre",alexan5,0,,,,,1844,1925,,Female,English,Queen,"1844-1925, épouse d'Edouard VII",,queen,edouar7,,,,,wife of: Edouard VII,False,1844-1925,,
"Alexis, Paul",", Paul",alexis1,0,,,,,,1901,,Male,,,"traducteur de la pièce Le Sycomore, ?-1901",traducteur de la pièce Le Sycomore,translator,,,,,,,False,,,
"Alglave, Dr Paul",", Dr Paul",alglav1,0,,,,,,,1906,Male,,,en 1906,,,,,,,,,False,,,
Aliénor d'Aquitaine,,alieno1,0,,,,,1122,1204,,Female,French; English,Queen,"1122?-1204, reine de France puis d'Angleterre",reine de France puis d'Angleterre,queen,,,,,,,False,1122-1204,,
"Aligre, marquise d'; née De Preaulx",", marquise d'; née De Preaulx",aligre1,0,,,,,,,,Female,,Marquise,,,,,,,,,,False,,,
"Allard, Adeline",", Adeline",allard1,0,,,,,,,1895,Female,,,Chez les Daudet en 1895.Peut-être une soeur de Marthe Allard?,Chez les Daudet .Peut-être une soeur de Marthe Allard?,,,,allard3; allard9,allard10; daudet6,,,False,,,
"Allard, Renée",", Renée",allard10,0,,,,,1878,1913,,Female,,,"1878?-1913, soeur de Mme Léon Daudet",soeur de Mme Léon Daudet,,,,allard3; allard9,allard1; daudet6,,,False,1878-1913,,
"Allard, Roger",", Roger",allard11,0,,,,,1885,,,Male,,,1885- ; critique littéraire (LJP),critique littéraire,literary critic,,,,,,,False,,,
"Allard, Eugène",", Eugène",allard2,0,,,,,,,1900,Male,,,auteur d'un questionnaire dans le Figaro (1900),auteur d'un questionnaire dans le Figaro,,,,,,,,False,,,
"Allard, Anna Daudet, Mme Léon",", Anna Daudet, Mme Léon",allard3,0,,,,,1848,1936,,Female,,,"1848-1936, soeur d'Alphonse Daudet, mère de Marthe Allard (Mme Léon Daudet)",soeur d'Alphonse Daudet,,allard9,allard1; allard10; daudet6,,daudet3; daudet7,,,False,1848-1936,,
"Allard, Maurice",", Maurice",allard4,0,,,,,1860,1942,,Male,,,"1860-1942, parlementaire",parlementaire,parliamentarian,,,,,,,False,1860-1942,,
"Allard, Jules",", Jules",allard5,0,,,,,1832,1907,,Male,,,"1832?-1907, beau-père de Maurice Donnay",beau-père de Maurice Donnay,,allard8,allard6; allard7; allard9; daudet5,,,father-in-law of donnay1,,False,1832-1907,,
"Allard, Georges",", Georges",allard6,0,,,,,,,,Male,,,fils de Jules Allard,fils de Jules Allard,,,,allard5; allard8,allard7; allard9; daudet5,,,False,,,
"Allard, Fernand",", Fernand",allard7,0,,,,,1864,,,Male,,,"1864?-?, fils de Jules Allard",fils de Jules Allard,,,,allard5; allard8,allard6; allard9; daudet5,,,False,,,
"Allard, Léonide Navoit, Mme Jules",", Léonide Navoit, Mme Jules",allard8,0,,,,,1822,1909,,Female,,,"1822?-1909, mère de Mme Alphonse Daudet",mère de Mme Alphonse Daudet,,allard5,allard6; allard7; allard9; daudet5,,,,,False,1822-1909,,
"Allard, Léon",", Léon",allard9,0,,,,,1847,,,Male,,,"1847-?, frère de Mme Alphonse Daudet",frère de Mme Alphonse Daudet,,allard3,allard1; allard10; daudet6,allard5; allard8,allard6; allard7; daudet5,,,False,,,
"Alleman, Jeanne; pseud. Jane Balde",", Jeanne; pseud. Jane Balde",allema1,0,,,,,1885,1938,,Female,,,1885-1938; femme de lettres ljp,femme de lettres,femme de lettres,,,,,,,False,1885-1938,,
"Allen, Henry Tureman.",", Henry Tureman.",allen1,0,,,,,1859,1930,,Male,American,,"1859-1930, Général américain (THRA)",Général américain,general,,,,,,,False,1859-1930,,
"Allizé, Henri",", Henri",allize1,0,,,,,1860,1930,,Male,,,"1860-1930, diplomate",diplomate,diplomat,,,,,,,False,1860-1930,,
"Allouard-Jouan, Mme; née Cadiot",", Mme; née Cadiot",alloua1,0,,,,,,,1911,Female,,,"à Cabourg, en 1911",à Cabourg,,,,,,,,False,,,
"Almeras, Henri d'",", Henri d'",almera1,0,,,,,,,,Male,,,auteur de la gazette des lettres dans La Presse,auteur de la gazette des lettres dans La Presse,,,,,,,,False,,,
"Alphandéry, Marc Samuel",", Marc Samuel",alphan1,0,,,,,,,,Male,,,banquier,banquier,banker,alphan2,,,,,,False,,,
"Alphandéry, Esther Albertine Crémieux, Mme Marc Samuel",", Esther Albertine Crémieux, Mme Marc Samuel",alphan2,0,,,,,,,,Female,,,,,,alphan1,,,,,,False,,,
"Alphonse XII, roi d'Espagne",", roi d'Espagne",alphon12,0,,,,,1857,1885,,Male,Spanish,King,"1857-1885, roi de 1874 à 1885, fils d'Isabelle II",roi de 1874 à 1885,king,,,isabel2,,,,False,1857-1885,,
"Alphonse XIII, roi d'Espagne",", roi d'Espagne",alphon13,0,,,,,1886,1941,,Male,Spanish,King,1886-1941,,king,,,,,cousin of borbon1,,False,1886-1941,,
"Alsace, comte Philippe d'",", comte Philippe d'",alsace1,0,,,,,,,1905,Male,,Count,en 1905,,,,,,,,,False,,,
"Alsace, comtesse Philippe d'; née de Brienen",", comtesse Philippe d'; née de Brienen",alsace2,0,,,,,,,1905,Female,,Countess,en 1905,,,,,,,,,False,,,
"Alton, Anne de la Roque-Ordan, vicomtesse Charles d'",", Anne de la Roque-Ordan, vicomtesse Charles d'",alton1,0,,,Alton,,,,1907,Female,,Vicountess,en 1907,,,alton2,alton3,,,,,False,,,
"Alton, Charles vicomte d'",", Charles vicomte d'",alton2,0,,,Alton,,1857,1931,,Male,,Vicount,1857-1931,,,alton1,alton3,,,,,False,1857-1931,,
"Alton, Colette d'",", Colette d'",alton3,0,,,Alton,,,,,Female,,,fille de Charles et Anne d'Alton,fille de Charles et Anne d'Alton,,,,alton1; alton2,alton4,,,False,,,
"Alton, William d'",", William d'",alton4,0,,,Alton,,,1918,,Male,,,? - le 31 mars 1918; fils du comte d'Alton et de la comtesse née la Roque Ordan; sous-lieutenant et pilote-aviateur (LJP),- le 31 mars 1918,pilot; sub-lieutenant,,,alton1; alton2,alton3,,,False,,,
"Alvarez, Albert Gourron, dit Albert",", Albert Gourron, dit Albert",alvare1,0,,,,,1861,1933,,Male,,,"1861-1933, chanteur à l'Opéra",chanteur à l'Opéra,singer,,,,,,,False,1861-1933,,
"Aman-Jean, Edmond",", Edmond",amanje1,0,,,,,1860,,,Male,,,"1860-?, peintre",peintre,painter,,,,,,,False,,,
"Amaury, Ernest Socquet, dit",", Ernest Socquet, dit",amaury1,0,,,,,,,,Male,,,comédien,comédien,comedian,,,,,,,False,,,
"Ambatielos, Nicholas Eustache",", Nicholas Eustache",ambati1,0,,,,,,,,Male,Greek,,"collectionneur de tableux; un Grec ""nouveau-riche"" (ALB)",collectionneur de tableux,collector,,,,,,,False,,,
"Ambrière, Francis",", Francis",ambrie1,0,,,,,1907,,,Male,,,"1907-?, journaliste, homme de lettres",journaliste,journalist; homme de lettres,,,,,,,False,,,
"Ambroy, Timoléon",", Timoléon",ambroy1,0,,,,,,1896,,Male,,,"?-1896, ami d'Alphonse Daudet",ami d'Alphonse Daudet,,,,,,,,False,,,
"Portugal, reine Amélie de",", reine Amélie de",amelie1,0,,,,,1865,,,,,,1865-?,,,,,,,,,False,,,
"Amic, Henri",", Henri",amic1,0,,,,,1853,1929,,Male,,,"1853-1929, homme de lettres",homme de lettres,homme de lettres,,,,,,,False,1853-1929,,
"Amiot, Jules",", Jules",amiot1,0,,,,,1816,1916,,Male,,,1816-1916,,,amiot2,amiot4,,,,,False,1816-1916,,
"Amiot, Élisabeth Proust, Mme Jules",", Élisabeth Proust, Mme Jules",amiot2,0,,,,,1828,1886,,Female,,,"soeur du Dr Adrien Proust, 1828-1886",soeur du Dr Adrien Proust,,amiot1,amiot4,,proust3,,,False,1828-1886,,
"Hamart, Mathilde-Jenny Amiot, Mme André",", Mathilde-Jenny Amiot, Mme André",amiot3,0,,,,,1859,1882,,Female,,,"1859?-1882, fille de Jules et Elisabeth Amiot",fille de Jules et Elisabeth Amiot,,,,,,,,False,1859-1882,,
"Amiot, André",", André",amiot4,0,,,,,1853,1931,,Male,,,"1853-1931, fils de Jules Amiot",fils de Jules Amiot,,,,amiot1; amiot2,,,,False,1853-1931,,
"Amodru, Laurent",", Laurent",amodru1,0,,,,,1849,1930,,Male,,,"1849-1930, homme politique",homme politique,politician,,,,,,,False,1849-1930,,
"Amoudriez, Juliette Stani",", Juliette Stani",amoudri1,0,,,,,,,1900,Female,,,a visité le couvent de l'ile San Lazzaro (Venise) en 1900,a visité le couvent de l'ile San Lazzaro (Venise),,,,,,,,False,,,
"Ancey, Georges-Marie-Edmond Mathevon de Curnieu, dit Georges",", Georges-Marie-Edmond Mathevon de Curnieu, dit Georges",ancey1,0,,,,,1860,1917,,Male,,,"1860-1917, diplomate, auteur dramatique",diplomate,diplomat; dramatist,,,,,,,False,1860-1917,,
"Ancona, Mario",", Mario",ancona1,0,,,,,1863,1931,,Male,Italian,,"1863-1931, chanteur italien",chanteur italien,singer,,,,,,,False,1863-1931,,
"Andigné, vicomte Louis d'",", vicomte Louis d'",andign1,0,,,,,,,,Male,,Vicount,,,,,,,,,,False,,,
"Andigné, vicomtesse Louis d'; née Coleman",", vicomtesse Louis d'; née Coleman",andign2,0,,,,,,,1905,Female,,Vicountess,en 1905,,,,,,,,,False,,,
"Andigné, Hélène de Chandon de Briailles, comtesse Geoffroy d'",", Hélène de Chandon de Briailles, comtesse Geoffroy d'",andign3,0,,,,,,,1908,Female,,Countess,en 1908,,,,,,,,,False,,,
"Andlau, Marie Hélène de Chabrol-Chaménane, comtesse d'",", Marie Hélène de Chabrol-Chaménane, comtesse d'",andlau1,0,,,,,,,,Female,,Countess,mariée en 1878,,,,,,,,,False,,1878,
"Andrade, Ione de",", Ione de",andrad1,0,,,,,,,,Female,,,proustienne,proustienne,,,,,,,,False,,,
"Andral, Paule Roucoule ou Roncole, dite Mlle H.",", Paule Roucoule ou Roncole, dite Mlle H.",andral1,0,,,,,1879,,,Female,,,"1879-?, actrice",actrice,actress,,,,,,,False,,,
"André, Édouard",", Édouard",andre1,0,,,,,,,,Male,,,,,,,,,,,,False,,,
"André, Serge",", Serge",andre2,0,,,,,,,,Male,,,propriétaire du journal L'Opinion,propriétaire du journal L'Opinion,newspaper owner,,,,,,,False,,,
André,,andre3,0,,,,,1840,1896,,Male,,,"architecte, maître d'E. Pontremoli, 1840-1896",architecte,architect,,,,,,,False,1840-1896,,
"André, général Louis",", général Louis",andre4,0,,,,,1838,1913,,Male,,,"1838-1913, ministre de la Guerre du 29 mai 1900 au 16 nov 1904",ministre de la Guerre du 29 mai 1900 au 16 nov 1904,general,andre5,,,,,,False,1838-1913,1876,
"André, Marguerite Chapuy (ou Chapuis), Mme Louis",", Marguerite Chapuy (ou Chapuis), Mme Louis",andre5,0,,,,,1850,,,Female,,,"1850-?, cantatrice, épouse du général André, mariée en 1876",cantatrice,singer,andre4,,,,,,False,,1876,
"André, Nélie Jacquemart, Mme Edouard",", Nélie Jacquemart, Mme Edouard",andre6,0,,,,,1840,1912,,Female,,,1840-1912; peintre,peintre,painter,,,,,,,False,1840-1912,,
"Andre, les Serge",", les Serge",andre7,0,,,,,,,,,,,Serge André (propriétaire du journal _Opinion_) et sa femme (LJP),Serge André (propriétaire du journal _Opinion_) et sa femme,,,,,,,,False,,,
"Andrée, Ellen ou Ellen-Andrée",", Ellen ou Ellen-Andrée",andree1,0,,,,,,,1904,Female,,,comédienne en 1904,comédienne,comedian,,,,,,,False,,,
"Andrieu, Edouard",", Edouard",andrie2,0,,,,,1833,1889,,Male,,,"1833-1889, dentiste",dentiste,dentist,,,,,,,False,1833-1889,,
"Andrieux, Louis",", Louis",andrie3,0,,,,,1840,,,Male,,,"1840-?, avocat, homme politique, député de 1876 à 1889",avocat,lawyer; politician; Member of Parliament,,,,,,,False,,,
"Anet, Jean Schopfer, dit Claude",", Jean Schopfer, dit Claude",anet1,0,,,,,1868,1931,,Male,,,"1868-1931, écrivain",écrivain,writer,,,,,,,False,1868-1931,,
"Angelico, Giovanni da Fiesole, dit Fra",", Giovanni da Fiesole, dit Fra",angeli1,0,,,,,1387,1455,,Male,,,1387-1455,,,,,,,,,False,1387-1455,,
"Anglesey, marquise d'",", marquise d'",angles1,0,,,,,,,1902,Female,,Marquise,chez Mme Poirson en 1902,Chez Mme Poirson,,,,,,,,False,,,
"Angleterre, Victoria-Mary princesse de Teck puis reine d'",", Victoria-Mary princesse de Teck puis reine d'",anglet1,0,,,,,1867,,,Female,English,Queen,"1867-?, épouse de Georges V, mariée en le 6 juillet 1893.",mariée en le 6 juillet 1893.,queen,george5,,,,,wife of: Georges V,False,,,
"Anisson du Perron, Roger",", Roger",anisso1,0,,,,,1829,1908,,Male,,,"1829-1908, homme politique, agriculteur",homme politique,politician; farmer,,,,,,,False,1829-1908,,
"Anna, doña",", doña",anna1,0,,,,,,,,Female,,,personnage de Don Juan,personnage de Don Juan,,,,,,,,False,,,
"Annenkoff ou Annenkov, général Michel Nicolaïevitch",", général Michel Nicolaïevitch",annenk1,0,,,,,1838,1899,,Male,,,"1838-1899, beau-frère du vicomte  Eugène-Melchior de Vogüé",beau-frère du vicomte Eugène-Melchior de Vogüé,,,,,,brother-in-law of vogue1,,False,1838-1899,,
"Annunzio, Gabriele d'",", Gabriele d'",annunz1,0,,,,,1864,1938,,Male,,,1864-1938,,,annunz2,,,,,,False,1864-1938,1883,
"Annunzio, Marie de Gallese, Mme Gabriele d'",", Marie de Gallese, Mme Gabriele d'",annunz2,0,,,,,1863,,,Female,,,"1863-?, mariée en 1883",,,annunz1,,,,,,False,,1883,
"Ansermet, Ernest",", Ernest",anserm1,0,,,,,1883,1969,,Male,Swiss,,1883-1969; conducteur suisse de l'Orchestre des Ballets Russes ljp,conducteur suisse de l'Orchestre des Ballets Russes,conductor,,,,,,,False,1883-1969,,
"Antheaume, André",", André",anthea1,0,,,,,1867,1927,,Male,,,"1867-1927, Médecin (THRA - needs to be checked)",Médecin - needs to be checked),doctor?,,,,,,,False,1867-1927,,
"Antigny, Marie-Ernestine Antigny, dite Blanche d'",", Marie-Ernestine Antigny, dite Blanche d'",antign1,0,,,,,1840,1874,,Female,,,"1840-1874, comédienne",comédienne,comedian,,,,,,,False,1840-1874,,
"Antoine, André",", André",antoin1,0,,,,,1857,1943,,Male,,,"Fondateur du Théâtre Antoine, 1857-1943",Fondateur du Théâtre Antoine,theater founder,,,,,,,False,1857-1943,,
"Antonesco, Victor",", Victor",antone1,0,,,,,1871,,,Male,Romanian,,1871-?; ministre plénipotentiaire de Roumanie à Paris (Kolb Name Card) (ALB),ministre plénipotentiaire de Roumanie à Paris (Kolb Name Card),diplomat,antone2,,,,,,False,,,
