ID Number,Title,Date,Role,Play,Subject,Type,Dimensions,Technique,Creator,Publisher,Description,Rights,Physical Collection,Repository,Collection,OCLC number,Date created,Date modified,Reference URL,CONTENTdm number,CONTENTdm file name,CONTENTdm file path
A149-22,"Frances Abington (nee Barton) as Estifania in ""Rule a Wife and Have a Wife""",,Estifania,Rule a Wife and Have a Wife,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Mounted sheet 3 1/2 x 5 1/2 inches,Engraving; Etching,,,"Whole-length. Wearing hat with plumes, holding a pistol.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699170,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/12,12,18.jpg,/actors/image/18.jpg
A149-23,"Frances Abington (nee Barton) as Estifania in ""Rule a Wife and Have a Wife""",1771,Estifania,Rule a Wife and Have a Wife,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate  marks 3 x 3 1/2 inches,Engraving; Etching,,J. Smith,Whole-length. Wearing green dress and holding pistol. Colored print.,"These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739690681,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/13,13,19.jpg,/actors/image/19.jpg
A149-24,"Frances Abington (nee Barton) as Lady Betty Modish in ""The Careless Husband""",1777,Lady Betty Modish,The Careless Husband,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Mounted sheet 4 x 6 1/2 inches,Engraving; Etching,"Taylor, I.",T. Lowndes,"Whole-length, standing in interior setting with male figure in background; wearing dress with ornaments, large headdress with plumes, holding fan in left hand, gloves in right.                                                 With text: ""How handsomely does he reproach me!  But I can't bear that he should think I know it.""  Act V, Sc. VI","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692688,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/14,14,20.jpg,/actors/image/20.jpg
A149-25,"Frances Abington  (nee Barton) as Lady Harriet in ""The Funeral""",1780,Lady Harriet,The Funeral,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate 3 1/2 x 4 1/2 inches,Engraving; Etching,"Dodd, D.; Taylor",Harrison & Co.,"Whole-length standing, head lowered. Wearing headdress with plumes; holding open fan.  With text: ""I can as ingeniously as I should then, acknowledge that I have been in an Error?""  Act II. Sc. 2","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699346,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/15,15,21.jpg,/actors/image/21.jpg
A149-26,"Frances Abington (nee Barton) as Lady Sadlife in ""The Double Gallant""",1777,Lady Sadlife,Double Gallant,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,3 3/4 x 5 1/4 inches,Engraving; Etching,Taylor; Walker,T. Lowndes,"Whole-length portrait, standing with Atall in interior setting.                                            With text: ""Olud! I'm going home this minute: And if you shou'd offer to dog my Chair, I protest I_was ever such usage_Lord_sure!  oh_follow me down then."" Act II, Sc 2","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699966,10/4/2006,6/21/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/16,16,22.jpg,/actors/image/22.jpg
A149-27,Frances Abington  (nee Barton) as Lappet,,Lappet,The Miser,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Drawings; Prints (visual works),2 3/4 x 4 1/2 inches,Drawing (image-making); Printing,,,Whole-length. Line drawing printed in maroon ink.,"These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692851,10/4/2006,4/6/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/17,17,23.jpg,/actors/image/23.jpg
A149-28,"Frances Abington (nee Barton) as Miss Prue in ""Love For Love""",1777,Miss Prue,Love For Love,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 3 1/2 x 5 inches,Engraving; Etching,"Roberts, J.; Thornthwaite",J. Bell,"Whole-length. Wearing hat with small plume, holding snuff box in left hand. With text: ""Look you here, Cousin, here's a Snuff Box; there's Snuff in't; here will you have any?""  Act 2, Scene 10","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699115,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/18,18,24.jpg,/actors/image/24.jpg
A149-29,"Frances Abington (nee Barton) as Mrs. Pinchwife in ""The Country Wife""",1777,Mrs. Pinchwife,The Country Wife,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 3 1/2 x 5 1/4 inches,Engraving; Etching,"Roberts, J.; Thornthwaite",J. Bell,"Whole-length, standing with hands under bib. Wearing ribbon in hair and dress with ribbon ornaments. With text: ""Nay, I will go abroad, that's once.""  Act III, Scene 2.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699930,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/19,19,25.jpg,/actors/image/25.jpg
A149-30,"Frances Abington (nee Barton) as Olivia in ""Twelfth Night""",1779,Olivia,Twelfth Night,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate marks 3 1/4 x 4 1/2 inches,Engraving; Etching,,J. Harrison,"Whole-length. Wearing long veil. With text: ""Look you, Sir, such a one I wear.""  Act I, Scene 9","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692668,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/20,20,26.jpg,/actors/image/26.jpg
A149-31,"Frances Abington (nee Barton) as Phillis in ""Conscious Lovers""",1776,Phillis,The Conscious Lovers,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,5 1/4 x 3 1/2 inches,Engraving; Etching,Taylor; Collier,T. Lowndes,"Whole-length, standing in interior with male figure in background.  With text: ""Oh here is my Young Mistress.  Go ye Liquorish Fool""  Act III, Scene 4","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692756,10/4/2006,6/12/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/21,21,27.jpg,/actors/image/27.jpg
A149-32,Frances Abington (nee Barton) as Thalia,,Thalia,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Mezzotints,3 1/2 x 5 1/2 inches,Mezzotint,"Reynolds, J.",,"Whole-length standing to left of draped pedestal, holding mask in right hand.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692796,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/22,22,28.jpg,/actors/image/28.jpg
A149-33,Frances Abington (nee Barton) as Thalia,1834,Thalia,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Mezzotints,4 x 6 1/2 inches; plate marks 6 1/2 x 9 inches,Mezzotint,"Reynolds, J.; Reynolds, S.W.","Hodgson, Boys & Graves","Whole-length standing to left of draped pedestal, mask in right hand.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699168,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/23,23,29.jpg,/actors/image/29.jpg
A149-34,Frances Abington (nee Barton) as Thalia and Lord Shelburne as Malagrida,1777,Thalia; Malagrida,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate marks 4 x 6 3/4 inches,Engraving; Etching,,T. Walker; Town and Country Magazine    T. Walker in Town and Country Magazine,Busts.,"These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739690682,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/24,24,30.jpg,/actors/image/30.jpg
A149-35,"Frances Abington (nee Barton) as Widow Bellmour in ""The Way to Keep Him""",,Widow Bellmour,The Way to Keep Him,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,3 x 4 1/4 inches,Engraving; Etching,"Esdall, W.",W. Jones,"Whole-length, standing in interior setting. Wearing dress with ribbon ornaments and headdress with plumes; holding book in hand.                                                                     With text: ""Oh!  blest with temper, whose unclouded ray, Can make tomorrow chearful as to day.""  Act III, Scene 1.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699993,10/4/2006,6/4/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/25,25,31.jpg,/actors/image/31.jpg
A149-36,"Frances Abington (nee Barton) as Widow Bellmour in ""The Way to Keep Him""",1792,Widow Bellmour,The Way to Keep Him,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,3 x 4 1/4 inches,Engraving; Etching,Thornthwaite,J. Bell,"Whole-length, standing in interior setting. Wearing dress with ribbon ornaments and headdress with plumes.  With text: ""Oh! blest with temper, whose unclouded ray, Can make tomorrow chearful as to-day""  Act III, Scene 1.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739700032,10/4/2006,6/4/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/26,26,32.jpg,/actors/image/32.jpg
A149-01,Portrait of Frances Abington (nee Barton),1779,,Zingis,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Mounted sheet 4 x 6 3/4 inches,Engraving; Etching,"Dodd, D.; Cook, T.",Fielding & Walker,"Whole-length.  Hands clasped, wearing dress with rose embellishments and ruffles. With text: ""Oh that dear Sparta!  Their Women had a Noble Magna Charta.""","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739692669,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/28,28,5.jpg,/actors/image/5.jpg
A149-10,Portrait of Frances  Abington (nee Barton),1891,,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Mounted sheet 5 x 7 inches,Engraving; Etching,"Cosway, R.",F. B. Daniell,"Bust. Wearing hat with feathers, ribbon and wide brim. Lace and ribbon on top of dress.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739690697,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/29,29,6.jpg,/actors/image/6.jpg
A149-11,Portrait of Frances Abington (nee Barton),1797,,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Plate marks 4 1/4 x 6 1/2 inches,Engraving; Etching,"Reynolds, J.; Ridley",T. Belamy for the Monthly Mirror,"Half-length, looking through curtain.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739690814,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/30,30,7.jpg,/actors/image/7.jpg
A149-12,Portrait of Frances Abington (nee Barton),,,,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 3 1/2 x 4 1/2 inches,Engraving; Etching,"Birrell, A.",,Full-length. In restoration costume; dress with ornaments and tassles.,"These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739700006,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/31,31,8.jpg,/actors/image/8.jpg
A149-13,"Frances Abington (nee Barton) as Aurelia in ""The Twin Rivals""",1777,Aurelia,The Twin Rivals,"Abington, Mrs., (Frances Barton), 1737-1815; Actors; Costume; Theater--History--18th century--Pictorial works; Women in the theater",Engravings,Border 3 1/4 x 5 inches,Engraving; Etching,Roberts,J. Bell,"Whole-length. Wearing dress with ornaments and headdress with plumes, holding a fan.                                 With text: ""No, no, I'm resolved against a man that disappears all the summer like a Woodcock."" Act II, Scene 1.","These images are made available for educational use only and may not be used for any non-educational or commercial purpose. Approved educational uses include faculty research, teaching, and student projects. If interested in obtaining higher resolution images for your research or a publication, please contact dcc@library.illinois.edu. Fees may apply.",University of Illinois Theatrical Print Collection,University of Illinois at Urbana-Champaign. Rare Book and Manuscript Library,"Portraits of Actors, 1720-1920, University of Illinois Library",739699277,10/4/2006,4/3/2007,http://imagesearchnew.library.illinois.edu/cdm/ref/collection/actors/id/32,32,9.jpg,/actors/image/9.jpg
